Time,Channel A,Channel B
(us),(mV),(mV)

-1.00970003,-3.96740600,-3.17392500
-1.00470003,-3.96740600,-3.17392500
-0.99970003,-3.96740600,-3.17392500
-0.99470003,-3.96740600,-3.17392500
-0.98970003,-3.96740600,-3.19834000
-0.98470003,-3.96740600,-3.28989500
-0.97970003,-3.96740600,-2.84432500
-0.97470003,-3.96740600,-1.91656200
-0.96970003,-3.96740600,-1.47099200
-0.96470003,-3.96740600,-1.56254800
-0.95970003,-3.96740600,-1.58696200
-0.95470003,-3.96740600,-1.58696200
-0.94970003,-3.96740600,-1.61137700
-0.94470003,-3.96740600,-1.70293300
-0.93970003,-3.96740600,-1.23294800
-0.93470003,-3.96740600,-0.21362960
-0.92970003,-3.96740600,-0.23804440
-0.92470003,-3.96740600,-1.34891800
-0.91970003,-3.96740600,-1.34891800
-0.91470003,-3.96740600,-0.23804440
-0.90970003,-3.96740600,-0.21362960
-0.90470003,-3.96740600,-1.23294800
-0.89970003,-3.96740600,-1.70293300
-0.89470003,-3.96740600,-1.61137700
-0.88970003,-3.96740600,-1.58696200
-0.88470003,-3.96740600,-1.58696200
-0.87970003,-3.96740600,-1.56254800
-0.87470003,-3.96740600,-1.47099200
-0.86970003,-3.96740600,-1.89214800
-0.86470003,-3.96740600,-2.72835500
-0.85970003,-3.96740600,-3.64391000
-0.85470003,-3.96740600,-4.57167300
-0.84970003,-3.96740600,-4.54725700
-0.84470003,-3.96740600,-3.52794000
-0.83970003,-3.96740600,-3.05795500
-0.83470003,-3.96740600,-3.14951000
-0.82970003,-3.96740600,-3.17392500
-0.82470003,-3.96740600,-3.17392500
-0.81970003,-3.96740600,-3.17392500
-0.81470003,-3.96740600,-3.17392500
-0.80970003,-3.96740600,-3.17392500
-0.80470003,-3.96740600,-3.17392500
-0.79970003,-3.96740600,-3.17392500
-0.79470003,-3.96740600,-3.17392500
-0.78970003,-3.96740600,-3.17392500
-0.78470003,-3.96740600,-3.17392500
-0.77970003,-3.96740600,-3.17392500
-0.77470003,-3.96740600,-3.17392500
-0.76970003,-3.96740600,-3.17392500
-0.76470003,-3.96740600,-3.17392500
-0.75970003,-3.96740600,-3.17392500
-0.75470003,-3.96740600,-3.17392500
-0.74970003,-3.96740600,-3.17392500
-0.74470003,-3.96740600,-3.17392500
-0.73970003,-3.96740600,-3.17392500
-0.73470003,-3.96740600,-3.17392500
-0.72970003,-3.96740600,-3.17392500
-0.72470003,-3.96740600,-3.17392500
