Time	Channel A	Channel B
(us)	(V)	(mV)

-1.00624201	-0.00793481	-5.13931700
-1.00124201	-0.00793481	-6.25019100
-0.99624201	-0.00793481	-5.78020600
-0.99124201	-0.00793481	-3.74156900
-0.98624201	-0.00793481	-3.27158400
-0.98124201	-0.00793481	-4.38245800
-0.97624201	-0.00793481	-4.87685800
-0.97124201	-0.00793481	-4.78530200
-0.96624201	-0.00793481	-4.76088700
-0.96124201	-0.00793481	-4.76088700
-0.95624201	-0.00793481	-4.78530200
-0.95124201	-0.00793481	-4.87685800
-0.94624201	-0.00793481	-4.43128700
-0.94124201	-0.00793481	-3.50352500
-0.93624201	-0.00793481	-3.05795500
-0.93124201	-0.00793481	-3.14951000
-0.92624201	-0.00793481	-3.17392500
-0.92124201	-0.00793481	-3.17392500
-0.91624201	-0.00793481	-3.19834000
-0.91124201	-0.00793481	-3.28989500
-0.90624201	-0.00793481	-2.81991000
-0.90124201	-0.00793481	-1.80059200
-0.89624201	-0.00793481	-1.80059200
-0.89124201	-0.00793481	-2.81991000
-0.88624201	-0.00793481	-3.28989500
-0.88124201	-0.00793481	-3.19834000
-0.87624201	-0.00793481	-3.19834000
-0.87124201	-0.00793481	-3.28989500
-0.86624201	-0.00793481	-2.84432500
-0.86124201	-0.00793481	-1.91656200
-0.85624201	-0.00793481	-1.44657700
-0.85124201	-0.00793481	-1.44657700
-0.84624201	-0.00793481	-1.91656200
-0.84124201	-0.00793481	-2.84432500
-0.83624201	-0.00793481	-3.28989500
-0.83124201	-0.00793481	-3.19834000
-0.82624201	-0.00793481	-3.17392500
-0.82124201	-0.00793481	-3.17392500
-0.81624201	-0.00793481	-3.17392500
-0.81124201	-0.00793481	-3.17392500
-0.80624201	-0.00793481	-3.17392500
-0.80124201	-0.00793481	-3.17392500
-0.79624201	-0.00793481	-3.17392500
-0.79124201	-0.00793481	-3.17392500
-0.78624201	-0.00793481	-3.17392500
-0.78124201	-0.00793481	-3.17392500
-0.77624201	-0.00793481	-3.17392500
-0.77124201	-0.00793481	-3.17392500
-0.76624201	-0.00793481	-3.14951000
-0.76124201	-0.00793481	-3.05795500
-0.75624201	-0.00793481	-3.52794000
-0.75124201	-0.00793481	-4.54725700
-0.74624201	-0.00793481	-4.52284300
-0.74124201	-0.00793481	-3.41196900
-0.73624201	-0.00793481	-3.38755500
-0.73124201	-0.00793481	-4.40687300
-0.72624201	-0.00793481	-4.85244300
-0.72124202	-0.00793481	-4.66933200
-0.71624202	-0.00793481	-5.11490200
-0.71124202	-0.00793481	-6.13422100
-0.70624202	-0.00793481	-6.13422100
-0.70124202	-0.00793481	-5.11490200
-0.69624202	-0.00793481	-4.64491700
-0.69124202	-0.00793481	-4.73647300
-0.68624202	-0.00793481	-4.76088700
-0.68124202	-0.00793481	-4.76088700
-0.67624202	-0.00793481	-4.76088700
-0.67124202	-0.00793481	-4.76088700
-0.66624202	-0.00793481	-4.78530200
-0.66124202	-0.00793481	-4.87685800
